keyword,eos_count,eos_rate_pct,non_eos_count,non_eos_rate_pct,total_count,eos_specificity
short,899,25.338,295,2.847,1194,22.491
pin,390,10.992,787,7.596,1177,3.396000000000001
hakuto,242,6.821,871,8.407,1113,-1.5860000000000003
failure,280,7.892,788,7.605,1068,0.2869999999999999
denso,233,6.567,831,8.02,1064,-1.4529999999999994
abnormal,208,5.862,666,6.428,874,-0.5659999999999998
output,116,3.269,506,4.884,622,-1.6150000000000002
gnd,420,11.838,143,1.38,563,10.457999999999998
fail,135,3.805,381,3.677,516,0.1280000000000001
mcu,131,3.692,374,3.61,505,0.0820000000000003
error,42,1.184,447,4.314,489,-3.13
communication,110,3.1,347,3.349,457,-0.2490000000000001
ref,40,1.127,376,3.629,416,-2.502
bent,1,0.028,396,3.822,397,-3.794
signal,45,1.268,275,2.654,320,-1.386
failed,90,2.537,214,2.065,304,0.472
function,90,2.537,213,2.056,303,0.48099999999999987
low,126,3.551,166,1.602,292,1.949
issue,32,0.902,259,2.5,291,-1.5979999999999999
test,71,2.001,205,1.979,276,0.021999999999999797
gse1,84,2.368,175,1.689,259,0.6789999999999998
flash,30,0.846,216,2.085,246,-1.2389999999999999
bosch,17,0.479,228,2.201,245,-1.722
field,80,2.255,161,1.554,241,0.7009999999999998
pins,37,1.043,201,1.94,238,-0.897
current,47,1.325,188,1.814,235,-0.4890000000000001
open,19,0.536,209,2.017,228,-1.4809999999999999
pcs,101,2.847,126,1.216,227,1.631
visteon,64,1.804,158,1.525,222,0.27900000000000014
voltage,39,1.099,176,1.699,215,-0.6000000000000001
vss,148,4.171,51,0.492,199,3.6790000000000003
lead,2,0.056,192,1.853,194,-1.797
cluster,38,1.071,155,1.496,193,-0.42500000000000004
report,74,2.086,117,1.129,191,0.9569999999999999
bosch ref,8,0.225,182,1.757,190,-1.5319999999999998
customer,40,1.127,148,1.428,188,-0.30099999999999993
reset,9,0.254,178,1.718,187,-1.464
power,75,2.114,111,1.071,186,1.043
between,105,2.959,76,0.734,181,2.225
circuit,126,3.551,50,0.483,176,3.068
touch,52,1.466,110,1.062,162,0.4039999999999999
adc,18,0.507,135,1.303,153,-0.7959999999999999
malfunction,21,0.592,131,1.264,152,-0.672
resistance,87,2.452,62,0.598,149,1.854
impedance,93,2.621,50,0.483,143,2.138
high,34,0.958,108,1.042,142,-0.08400000000000007
reported,55,1.55,80,0.772,135,0.778
s6j3001lsjsc1000b,45,1.268,87,0.84,132,0.42800000000000005
analysis,41,1.156,88,0.849,129,0.30699999999999994
vdd,88,2.48,40,0.386,128,2.094
bent pins,0,0.0,126,1.216,126,-1.216
short circuit,101,2.847,25,0.241,126,2.606
open failure,0,0.0,126,1.216,126,-1.216
mrb,30,0.846,94,0.907,124,-0.061000000000000054
programming,21,0.592,101,0.975,122,-0.383
need,31,0.874,91,0.878,122,-0.0040000000000000036
defect,27,0.761,93,0.898,120,-0.137
seiki,30,0.846,89,0.859,119,-0.013000000000000012
return,54,1.522,65,0.627,119,0.895
work,30,0.846,87,0.84,117,0.006000000000000005
cannot,14,0.395,101,0.975,115,-0.58
bmw,16,0.451,99,0.956,115,-0.5049999999999999
bent pin,0,0.0,115,1.11,115,-1.11
request,43,1.212,71,0.685,114,0.5269999999999999
nippon seiki,30,0.846,83,0.801,113,0.04499999999999993
nippon,30,0.846,83,0.801,113,0.04499999999999993
abnormality,14,0.395,99,0.956,113,-0.5609999999999999
suspected,9,0.254,102,0.984,111,-0.73
chip,25,0.705,86,0.83,111,-0.125
display,20,0.564,90,0.869,110,-0.30500000000000005
off,4,0.113,104,1.004,108,-0.891
inspection,1,0.028,105,1.013,106,-0.9849999999999999
incoming,0,0.0,105,1.013,105,-1.013
hyundai,14,0.395,91,0.878,105,-0.483
lifted,0,0.0,104,1.004,104,-1.004
production,34,0.958,69,0.666,103,0.2919999999999999
hoch,1,0.028,102,0.984,103,-0.956
program,12,0.338,89,0.859,101,-0.5209999999999999
does,14,0.395,87,0.84,101,-0.44499999999999995
board,8,0.225,93,0.898,101,-0.673
line,36,1.015,64,0.618,100,0.3969999999999999
incoming inspection,0,0.0,99,0.956,99,-0.956
anschlussbeinchen,0,0.0,99,0.956,99,-0.956
steht hoch,0,0.0,99,0.956,99,-0.956
anschlussbeinchen steht,0,0.0,99,0.956,99,-0.956
lockstep,9,0.254,90,0.869,99,-0.615
steht,0,0.0,99,0.956,99,-0.956
failure analysis,33,0.93,64,0.618,97,0.31200000000000006
function failure,41,1.156,56,0.54,97,0.6159999999999999
gnd short,85,2.396,11,0.106,96,2.29
during,21,0.592,72,0.695,93,-0.10299999999999998
alpine,22,0.62,71,0.685,93,-0.06500000000000006
found,11,0.31,82,0.791,93,-0.48100000000000004
waveform,15,0.423,77,0.743,92,-0.32
damaged,65,1.832,26,0.251,91,1.581
