model_name,accuracy,macro_f1,eos_f1,eos_precision,eos_recall,data_strategy
RF-SMOTE,0.816,0.7559,0.6348,0.6431,0.6268,smote
Ensemble-Stacking,0.8145,0.7551,0.6346,0.6382,0.631,ensemble
RF,0.8149,0.7525,0.6282,0.6444,0.6127,baseline
RF-Comb,0.807,0.7514,0.6339,0.6143,0.6549,aug+smote
Ensemble-SoftVoting,0.8041,0.7486,0.6305,0.6078,0.6549,ensemble
RF-Aug,0.8041,0.7486,0.6305,0.6078,0.6549,augmented
MultinomialNB,0.8113,0.7426,0.6097,0.6457,0.5775,baseline
XGBoost-Aug,0.7994,0.7423,0.6209,0.5997,0.6437,augmented
XGBoost-Comb,0.7987,0.7418,0.6206,0.5979,0.6451,aug+smote
LogReg-L2-Comb,0.7876,0.7401,0.629,0.5674,0.7056,aug+smote
XGBoost-SMOTE,0.8106,0.7398,0.6041,0.6473,0.5662,smote
LogReg-L2-Aug,0.7868,0.7396,0.6287,0.566,0.707,augmented
LogReg-L2,0.7868,0.736,0.6201,0.5687,0.6817,baseline
LinearSVC-SMOTE,0.7897,0.7358,0.6164,0.5767,0.662,smote
LogReg-L1-Aug,0.7861,0.7353,0.6193,0.5674,0.6817,augmented
LogReg-L2-SMOTE,0.7861,0.7351,0.6188,0.5676,0.6803,smote
XGBoost,0.8246,0.7346,0.58,0.7456,0.4746,baseline
LinearSVC-Aug,0.7818,0.7346,0.6227,0.5573,0.7056,augmented
LogReg-L1-Comb,0.7836,0.7329,0.6166,0.5628,0.6817,aug+smote
LinearSVC,0.8185,0.7306,0.5767,0.7122,0.4845,baseline
MultinomialNB-SMOTE,0.7771,0.727,0.6101,0.5511,0.6831,smote
ComplementNB-SMOTE,0.7771,0.727,0.6101,0.5511,0.6831,smote
LogReg-L1,0.784,0.7265,0.6012,0.5684,0.638,baseline
LogReg-L1-SMOTE,0.7761,0.7248,0.6059,0.5499,0.6746,smote
ComplementNB-Aug,0.7725,0.7247,0.61,0.5422,0.6972,augmented
MultinomialNB-Aug,0.7707,0.7234,0.6091,0.539,0.7,augmented
MultinomialNB-Comb,0.7703,0.7217,0.6053,0.5391,0.6901,aug+smote
ComplementNB,0.7638,0.7186,0.6059,0.5277,0.7113,baseline
scibert,0.771,0.6911,0.534,0.5556,0.5141,transformer-scibert
deberta,0.715,0.6566,0.515,0.4551,0.593,transformer-deberta
