Model,Macro-F1,Accuracy,EOS-Prec,EOS-Rec,EOS-F1,Time(s),Features,Train size,Δ Macro-F1,Improved?
E1: TF-IDF word_plus_char,0.7705,0.8325,0.6949,0.6127,0.6512,23.7,6000.0,,0.0146,✅ YES
E5: Translated+WordChar TF-IDF+SMOTE+RF,0.7685,0.8311,0.6917,0.6099,0.6482,,,,0.0126,✅ YES
E1: TF-IDF char_wb_3_5,0.7604,0.8231,0.6682,0.6099,0.6377,19.5,5000.0,,0.0045,✅ YES
E4: Hybrid(TF-IDF+Semantic)+BalancedRF,0.7598,0.821,0.6587,0.6197,0.6386,,,,0.0039,✅ YES
E5: Translated+Semantic+BalancedRF,0.7595,0.8196,0.6525,0.6268,0.6394,,,,0.0036,✅ YES
E4: Semantic+BalancedRF,0.7582,0.8185,0.6501,0.6254,0.6375,,,,0.0023,✅ YES
E4: Hybrid(TF-IDF+Semantic)+SMOTE+RF,0.7561,0.8246,0.6856,0.5775,0.6269,,,,0.0002,✅ YES
v5a RF-SMOTE (baseline),0.7559,0.816,0.6431,0.6268,0.6348,,,,0.0,➖ SAME
E4: Semantic+SMOTE+RF,0.7556,0.8239,0.6827,0.5789,0.6265,,,,-0.0003,❌ NO
E1: TF-IDF word_1_2_10k,0.7554,0.816,0.6439,0.6239,0.6338,11.0,8643.0,,-0.0005,❌ NO
E5: Translated+TF-IDF+SMOTE+RF,0.7554,0.8152,0.6408,0.6282,0.6344,,,,-0.0005,❌ NO
E7: Calibrated RF (thr=0.56),0.7541,0.8199,0.6651,0.593,0.627,,,,-0.0018,❌ NO
E3: KMeansSMOTE,0.7523,0.8106,0.6266,0.638,0.6322,21.4,,16581.0,-0.0036,❌ NO
E1: TF-IDF word_1_2_5k,0.752,0.8116,0.6314,0.6296,0.6305,8.2,5000.0,,-0.0039,❌ NO
E3: SMOTETomek,0.7517,0.812,0.6334,0.6254,0.6293,14.1,,16504.0,-0.0042,❌ NO
E1: TF-IDF word_1_3,0.7513,0.8109,0.6296,0.6296,0.6296,8.2,5000.0,,-0.0046,❌ NO
E1: TF-IDF v5a_baseline,0.7488,0.8091,0.6262,0.6254,0.6258,6.1,3000.0,,-0.0071,❌ NO
E3: SMOTE (v5a),0.7488,0.8091,0.6262,0.6254,0.6258,11.2,,16578.0,-0.0071,❌ NO
E3: BorderlineSMOTE,0.7464,0.8048,0.6133,0.6366,0.6247,13.7,,16578.0,-0.0095,❌ NO
E3: ADASYN,0.7456,0.8019,0.6042,0.6493,0.6259,12.5,,16482.0,-0.0103,❌ NO
E2: BalancedRF (word+char tfidf),0.7395,0.7843,0.5599,0.7239,0.6314,,,,-0.0164,❌ NO
E2: BalancedRF (baseline tfidf),0.7362,0.7818,0.5563,0.7169,0.6265,,,,-0.0197,❌ NO
E4: Semantic+RF,0.7352,0.8196,0.7072,0.5,0.5858,,,,-0.0207,❌ NO
E6: Text+Struct+BalancedRF (deduped),0.7351,0.7905,0.6069,0.621,0.6139,,,,-0.0208,❌ NO
E6: Text+Struct+SMOTE+RF (deduped),0.7302,0.8075,0.6925,0.5075,0.5857,,,,-0.0257,❌ NO
E2: BalancedBagging-SVC (baseline tfidf),0.7198,0.7635,0.5267,0.7225,0.6093,,,,-0.0361,❌ NO
E4: Semantic+XGB,0.7058,0.8167,0.7747,0.3972,0.5251,,,,-0.0501,❌ NO
E6: Text-only control (deduped split),0.6989,0.7672,0.5692,0.5426,0.5556,,,,-0.057,❌ NO
E4: Semantic+LogReg,0.6812,0.7308,0.48,0.6592,0.5555,,,,-0.0747,❌ NO
E3: SMOTEENN,0.669,0.6995,0.4487,0.7761,0.5686,17.5,,10556.0,-0.0869,❌ NO
